yard_bin,distance_bin,success_rate,attempts,epa_fail,epa_success,epa_nogo,ev_go,better_choice,decision
"(0, 10]","(0, 1]",0.57,700,-3.791320587740864,2.5567162879699246,0.00019440365115115082,-0.1729395685857147,False,No Go
"(0, 10]","(1, 2]",0.49748743718592964,199,-3.050021628,3.7493728282828283,0.00019440365115115082,0.3325916944723619,True,Go
"(0, 10]","(2, 4]",0.36666666666666664,180,-2.8803965236842104,3.918342501515151,0.00019440365115115082,-0.3875255477777779,False,No Go
"(0, 10]","(4, 6]",0.2826086956521739,92,-2.8151295363636364,4.1811585461538465,0.00019440365115115082,-0.8379176869565221,False,No Go
"(0, 10]","(6, 10]",0.3103448275862069,58,-2.7476804825,4.341513888888889,0.00019440365115115082,-0.5475856775862069,False,No Go
"(10, 20]","(0, 1]",0.6203389830508474,295,-3.6960471419642857,1.7476319250273225,-0.010245843181576144,-0.31912080549152555,False,No Go
"(10, 20]","(1, 2]",0.5617977528089888,89,-3.278718358974359,2.76644861,-0.010245843181576144,0.11744285955056188,True,Go
"(10, 20]","(2, 4]",0.5252525252525253,99,-3.080438904255319,3.1208442961538463,-0.010245843181576144,0.17680075656565708,True,Go
"(10, 20]","(4, 6]",0.46511627906976744,86,-3.0817283876086954,3.118192455,-0.010245843181576144,-0.19804427476744202,False,No Go
"(10, 20]","(6, 10]",0.2549019607843137,102,-2.742345672368421,3.7026560999999996,-0.010245843181576144,-1.0995020833333338,False,No Go
"(10, 20]","(10, 100]",0.14473684210526316,76,-2.913047063076923,4.2510804,-0.010245843181576144,-1.8761338776315788,False,No Go
"(20, 30]","(0, 1]",0.6759002770083102,361,-3.5985733957264956,1.863545830942623,0.009954842174025305,0.09327450263157888,True,Go
"(20, 30]","(1, 2]",0.5526315789473685,114,-3.4084505647058823,2.4406598226984126,0.009954842174025305,-0.17604745587719273,False,No Go
"(20, 30]","(2, 4]",0.512396694214876,121,-2.9686765966101696,2.946258891935484,0.009954842174025305,0.062116794214875926,True,Go
"(20, 30]","(4, 6]",0.43820224719101125,89,-2.702628463,2.755754655897436,0.009954842174025305,-0.3107527142696629,False,No Go
"(20, 30]","(6, 10]",0.3157894736842105,133,-2.8061293241758243,3.5787199452380953,0.009954842174025305,-0.7898611338345867,False,No Go
"(20, 30]","(10, 100]",0.1506849315068493,73,-2.6899634290322583,3.613239290909091,0.009954842174025305,-1.74016575890411,False,No Go
"(30, 40]","(0, 1]",0.6451612903225806,527,-3.332199278449198,2.151650696823529,-0.028749701213186814,0.20576844753320667,True,Go
